student_id,lectures_attended,total_lectures
1,10,30
2,21,30
3,3,30
4,20,30
5,27,30
6,29,30
7,8,30
8,8,30
9,8,30
10,12,30
11,21,30
12,23,30
13,24,30
14,10,30
15,5,30
16,0,30
17,26,30
18,150,30
19,15,30
19,15,30
20,11,30
21,9,30
22,1,30
23,15,30
23,15,30
24,-5,30
25,26,30
26,19,30
27,22,30
28,2,30
29,4,30
30,24,30
31,18,30
32,5,30
33,22,30
34,9,30
35,29,30
36,150,30
37,8,30
38,22,30
39,24,30
40,8,30
41,2,30
42,1,30
43,10,30
44,8,30
45,8,30
46,2,30
47,29,30
48,12,30
49,15,30
50,17,30
51,6,30
52,3,30
53,22,30
54,1,30
55,-5,30
56,24,30
57,28,30
58,20,30
59,29,30
60,150,30
61,22,30
62,12,30
63,16,30
64,24,30
65,13,30
66,23,30
67,25,30
68,15,30
68,15,30
69,-5,30
70,15,30
71,17,30
72,11,30
73,9,30
74,20,30
75,20,30
76,-5,30
77,10,30
78,150,30
79,9,30
80,5,30
81,30,30
82,6,30
83,12,30
84,20,30
85,15,30
86,-5,30
87,6,30
88,6,30
89,-5,30
90,12,30
91,-5,30
92,15,30
93,26,30
94,30,30
95,1,30
96,10,30
97,1,30
98,6,30
99,21,30
100,30,30
101,27,30
102,23,30
103,29,30
104,-5,30
105,20,30
106,-5,30
107,-5,30
108,0,30
109,1,30
110,26,30
111,14,30
112,26,30
113,26,30
114,3,30
115,25,30
116,2,30
117,13,30
118,26,30
119,21,30
120,3,30
121,18,30
122,10,30
123,25,30
124,1,30
125,10,30
126,150,30
127,13,30
128,11,30
129,14,30
130,18,30
131,15,30
131,15,30
132,20,30
133,24,30
134,28,30
135,0,30
136,15,30
136,15,30
137,18,30
138,13,30
139,25,30
140,22,30
141,4,30
142,16,30
143,7,30
144,19,30
145,19,30
146,15,30
147,2,30
148,25,30
149,13,30
150,15,30
150,15,30
151,16,30
152,19,30
153,24,30
154,16,30
155,24,30
156,6,30
157,6,30
158,4,30
159,30,30
160,15,30
161,21,30
162,1,30
163,9,30
164,8,30
165,25,30
166,14,30
167,-5,30
168,-5,30
169,25,30
170,-5,30
171,28,30
172,14,30
173,10,30
174,23,30
175,10,30
176,3,30
177,3,30
178,13,30
179,12,30
180,2,30
181,15,30
182,150,30
183,29,30
184,5,30
185,4,30
186,6,30
187,8,30
188,4,30
189,-5,30
190,15,30
190,15,30
191,14,30
192,5,30
193,7,30
194,19,30
195,25,30
196,19,30
197,18,30
198,27,30
199,13,30
200,15,30
201,6,30
202,26,30
